content,score,sentiment_polarity,sentiment_subjective,sentiment_rating
recomended banget,5,0.0,0.0,Positive
bagus,5,0.0,0.0,Positive
harap qris tampil belanja alfa repot qris tampil,5,1.0,0.3,Positive
bagus kalo tambahin kuota transfer biar gratis kayak walletnya gopay,5,0.0,0.0,Positive
mudah praktis,5,0.0,0.0,Positive
daftar akun nik daftar hapus nik akun lupa password nomer hp email,1,0.0,0.0,Negative
mantap,5,0.0,0.0,Positive
pw bener susah bnget masuk kunci hadeuh ampun,1,0.0,0.0,Negative
bintang berat sungguh praktis,2,0.0,0.0,Negative
muas layan,5,0.0,0.0,Positive
puas bnget,5,0.0,0.0,Positive
bagus,5,0.0,0.0,Positive
knp transfer uang,1,0.0,0.0,Negative
suka,5,0.0,0.0,Positive
pinjam,5,0.0,0.0,Positive
nutup akun bikin ribet label doang syariah,1,0.0,0.0,Negative
mantap,4,0.0,0.0,Positive
feature kantong syariah imbal hasil sesuai prinsip syariah biar cuan,5,0.0,0.0,Positive
transaksi cepat,5,0.0,0.0,Positive
akun kunci uang hasil jual nyangkut,1,0.0,0.0,Negative
bijak bagus,5,0.0,0.0,Positive
terima kasih,5,0.0,0.0,Positive
bagus dapet bonus,5,0.0,0.0,Positive
bebas biaya admin gampang registrasi,5,0.0,0.0,Positive
bagus,5,0.0,0.0,Positive
excellent,5,1.0,1.0,Positive
mudah gampang,5,0.0,0.0,Positive
bagusss layan,5,0.0,0.0,Positive
mantab mantab joss,5,0.0,0.0,Positive
gagal hubung saldo dollar kantong utama rupiah,1,0.0,0.0,Negative
bagus mudah,5,0.0,0.0,Positive
lot niat bikin,1,0.0,0.0,Negative
mantap,5,0.0,0.0,Positive
susah log salah perangkat hubung masukin data bener ttep gabisa telpon call centre kirim email wa ubah gila duit gue jt situ benerin,1,0.0,0.0,Negative
bagus bantu,5,0.0,0.0,Positive
ringan simpel mudah pakai utama suka bikin kantong praktis norek pisah pisah dana sesuai butuh pakai tampung dana sumber hasil,5,0.0,0.0,Positive
mantap,5,0.0,0.0,Positive
update 26 03 26 banget sinyal wifi bagus gmn bikin,4,0.0,0.0,Positive
vcall buka kayak jahat data lengkap gopay terinstall bikin ribet,1,0.0,0.0,Negative
uang hilang gatau asli 000 500 000 kecewaaa nyimpen,1,0.0,0.0,Negative
kerenn,5,0.0,0.0,Positive
mantap,5,0.0,0.0,Positive
banget,5,0.5,0.5,Positive
fleksibel rdn saham layan lengkap,5,0.0,0.0,Positive
tarik,5,0.0,0.0,Positive
banget,5,0.5,0.5,Positive
apps,5,0.7,0.6000000000000001,Positive
sayang daftar aktifasi sulit tolak masuk pasword pin sidik jari masuk masuk tolak sandi valid ampun,3,0.0,0.0,Neutral
simple,5,0.0,0.35714285714285715,Positive
amanah kadang lag,5,0.0,0.0,Positive
nmr hp hilang lupa email gimana solusi,1,0.0,0.0,Negative
cocok uang rapi tata,5,0.0,0.0,Positive
mantap mudah transaksi syariah,5,0.0,0.0,Positive
enak banget coy gue,5,0.0,0.0,Positive
bagus cepat konsisten jamin aman,5,0.0,0.0,Positive
hp hilang gimna akun,5,0.0,0.0,Positive
bagus,5,0.0,0.0,Positive
nicee,5,0.0,0.0,Positive
fitur lengkap mudah operasi,5,0.0,0.0,Positive
ribet daftar,5,0.0,0.0,Positive
hallo admin prose aktivasi akun syarat penuh informasi fakta,1,0.0,0.0,Negative
mudah,5,0.0,0.0,Positive
mudah banget kartu visa elektronik tinggal sat set,5,0.0,0.0,Positive
bagus mantap,5,0.7,0.6000000000000001,Positive
pakai enak yo fitur kantong ngelompokin sesuai yok yok pindah dana kantong fitur catat biar enak,4,0.0,0.0,Positive
bantu,5,0.0,0.0,Positive
simpel enak ribet,5,0.0,0.0,Positive
alami error ganggu kali coba login buka rekening gagal muncul sistem ganggu perban akses nasabah mohon server tingkat kualitas alami ganggu maintenance sistem pemberitahuan,5,0.0,0.0,Positive
susah download kali kali download,1,0.0,0.0,Negative
milik akun nomor mati login akun terima kode otp ganti nomor urus prose ganti nomor login ngurus ganti nomor akun prosedur sulit ribet foto selfie megang ktp selesai tolong evaluasi kalo berhati2 skrg fitur videocall fitur rekam videocall pke surat nyata,1,0.0,0.0,Negative
bagus,5,0.0,0.0,Positive
kerjasama platform menu jual online shop biaya administrasi murah umkm kelas orang bikin menu jual daftar jual mudah,5,0.0,0.0,Positive
pinjam uang aju blg sedia aneh jga,3,0.0,0.0,Neutral
amann,5,0.5,0.5,Positive
menu dana instan pinjam dll,3,0.0,0.0,Neutral
kerenn makasii bonus minn,5,0.0,0.0,Positive
prose ribet login,1,0.0,0.0,Negative
yng bagus,5,0.0,0.0,Positive
simple mudah,5,0.0,0.35714285714285715,Positive
masukin password salah suruh nunggu jam hadeh bikin ribet,1,0.0,0.0,Negative
main blokir untung deposit nyimpen uang,1,0.16666666666666666,0.3333333333333333,Negative
bagus,5,0.0,0.0,Positive
buka tabung ribet banget video call koq ngomong data temu bri koq uninstall,1,0.0,0.0,Negative
gratis biaya transfer mantabbbb,5,0.0,0.0,Positive
senang pakai,5,0.0,0.0,Positive
tolong fitur pinjam buka jgn pilah pilih,2,0.0,0.0,Negative
praktis fiturnya,5,0.0,0.0,Positive
aneh kali akun terang daftar gilir masuk nik salah email salah nomor telpon salah coba kali daftar masuk,2,0.0,0.0,Negative
bagus mudah,5,0.0,0.0,Positive
puas,1,0.0,0.0,Negative
efisien baguss,5,0.0,0.0,Positive
ubah nilai limit buka blokir,5,0.0,0.0,Positive
mantap,4,0.0,0.0,Positive
sangatt erti,5,0.0,0.0,Positive
bagus,5,0.0,0.0,Positive
error kena ganggu sulit eror akun blokir kena limit 1jam gagal coba login 3x masukin data loh,1,0.0,0.0,Negative
ribet banget anj login hp hp rusak mlh verifikasi gitu susah,1,0.0,0.0,Negative
login susah banget lupa password scan wajah kali kali input data kali kali tetep gabisa foto ktp kali kali scan wajah sistem gagal suruh video call gamau video call ulang scan jelek banget sebel parah butuh cepet,1,0.0,0.0,Negative
mantap,5,0.0,0.0,Positive
keren,5,0.0,0.0,Positive
far,5,0.39999999999999997,0.8,Positive
aman percaya,5,0.0,0.0,Positive
kendala kode otp mulu adminnya mabok dijelasin detail kendala,1,0.0,0.0,Negative
bintng akun blokir uang saldo isi mohon bantu,3,0.0,0.0,Neutral
bantu,5,0.0,0.0,Positive
bagus,5,0.0,0.0,Positive
mohon maaf barangkali bug temu transaksi qris lancar catat merchant,5,0.0,0.0,Positive
manfaat,5,0.0,0.0,Positive
kartu sim ilang masukin akun suruh cek pilih masuk email,1,0.0,0.0,Negative
smua butuh mantap,5,0.0,0.0,Positive
bagus,5,0.0,0.0,Positive
pinjol buka rekening tunggu tuju ujung ujung gagal auto uninstal ribet masalh registrasi cust servis sok banget,1,0.0,0.0,Negative
bantu transaksi nyaman aman,5,0.0,0.0,Positive
senang kendala lancar sesuai butuh,5,0.0,0.0,Positive
gmna akun buka masukin hp email login kk login tolong bantu saldo,3,0.0,0.0,Neutral
mudah cepat gampang transaksi,5,0.0,0.0,Positive
eror banget nyaaa,1,0.0,0.0,Negative
mudah transaksi,5,0.0,0.0,Positive
daftar sesi foto sinyal lancar2,1,0.0,0.0,Negative
pakai transaksi visa transaksi minggu bisnis lancar,5,0.0,0.0,Positive
bantu,4,0.0,0.0,Positive
transaksi salah jaring buka bagus bapuk si ui ringan berat jaring,1,0.0,0.0,Negative
banget,5,0.5,0.5,Positive
login nomor telfon aktif hilang tolong gmna ganti nomor login,5,0.0,0.0,Positive
mantap,5,0.0,0.0,Positive
sumpah bagus banget admin ramah respon kemarin ubah nama resmi satset adminnya ramah sip,5,0.2,0.6,Positive
konsisten lupa password lupa pin email bingung kartu nomor hilang login pakai otp verifikasi wajah ujung otp kartu nomor hilang,5,0.0,0.0,Positive
digital susah login masuk kode otp gagal coba hubung call center email whatsapp solusi mending pakai digital stabil,1,-0.03333333333333333,0.03333333333333333,Negative
pelit neobank kasih pinjam percaya hutang bayar aju dsni gagal,1,0.0,0.0,Negative
saldo mulu saldo,1,0.0,0.0,Negative
bantu akun blokir bsa mhon,4,0.0,0.0,Positive
fitur pinjam aktif,5,0.0,0.0,Positive
mak bodoh rusak,1,0.0,0.0,Negative
keren,5,0.0,0.0,Positive
bagus kalo transaksi kartu saldo dikit potong 5rb,4,0.0,0.0,Positive
langsung ribet login,5,0.0,0.0,Positive
akun buka sperti trus data2 tolong jaga sukses sejahtera sukses knp salah tolong trimah kasih login knp salah trus,5,0.0,0.0,Positive
sampah verifikasi data ujung ujung tolak,1,0.0,0.0,Negative
transaksi mudah cepat,5,0.0,0.0,Positive
aman,5,0.0,0.0,Positive
istimewa,5,0.0,0.0,Positive
ubah monyet otp kirim wa nomor telepon tambahin kirim gmail nomor daftarin wa nomor massa tenggang,1,0.0,0.0,Negative
buruk transfer wallet masuk saldo,1,0.0,0.0,Negative
baguss,5,0.0,0.0,Positive
kirim uang status pending 24jam uang potong saldo digital parah,1,0.0,0.0,Negative
kali download dapet saldo keren keren,5,0.0,0.0,Positive
transaksi jebak macet transfer dana terima saldo potong,5,0.0,0.0,Positive
bagus bantu simpel,5,0.0,0.0,Positive
sumpah verifikasi loginnya banget bikin kesel jaring bagus,1,0.0,0.0,Negative
login ganggu daftar tolong butuh dana,5,0.0,0.0,Positive
bagus,5,0.0,0.0,Positive
baguss,5,0.0,0.0,Positive
nak update versi tolong,5,0.0,0.0,Positive
mantap 100 percaya,5,0.0,0.0,Positive
transaksi bantu,5,0.0,0.0,Positive
pinjam,5,0.0,0.0,Positive
wahhh bagus,5,0.0,0.0,Positive
bagus bantu,5,0.0,0.0,Positive
daftar mudah simple cepat,5,0.0,0.35714285714285715,Positive
sempet trouble,3,-0.2,0.2,Neutral
buruk,1,0.0,0.0,Negative
gopay pending lot banget sistem bikin aktifitas transfer lambat tolong benerin sistem recomended,1,0.5,0.5,Negative
bagus,5,0.0,0.0,Positive
nyimpen uang kantor transfer suka pending jarang 10 transaksi saldo terang pokok tabung promosi nipu,1,0.0,0.0,Negative
doang,1,0.5,0.5,Negative
kali pending transfer,1,0.0,0.0,Negative
wallet jam malam jam 10 pending coba chat whatsapp respon,1,0.5,0.5,Negative
selesai cepat momen momen transaksi tunda tunda,1,0.0,0.0,Negative
al transaksi,5,0.0,0.0,Positive
sukak saldo,1,0.5,0.5,Negative
sore tolong tutup akun akun teruss,2,0.0,0.0,Negative
hadeuh,1,0.0,0.0,Negative
bagus cepat,5,0.0,0.0,Positive
puas semogah pitur pinjam aktif,5,0.0,0.0,Positive
akun transfer blokir,3,0.0,0.0,Neutral
mantap,5,0.0,0.0,Positive
bantu bisnis,5,0.0,0.0,Positive
digital keren mantap,5,0.0,0.0,Positive
bagus cair pinjam cepat ribet,5,0.0,0.0,Positive
ribet banget ken login acara video call gitu suara customer service bodoh,1,0.0,0.0,Negative
keren,5,0.0,0.0,Positive
lumayan fitur pinjam 000 000 genap,5,0.0,0.0,Positive
login coba gagal rugi mohon kualitas buruk,1,0.0,0.0,Negative
tolong buatin widget cepat scan qris android brimo cimb bagus praktis transaksi via scan qris sehari2,4,0.0,0.0,Positive
pokok kasih hadiah gratis jamin,5,0.5,0.5,Positive
mohon bantu tuju komplain kait akun blokir,5,0.0,0.0,Positive
reset pasword muter trus sihh hadehh,1,0.0,0.0,Negative
joss,5,0.0,0.0,Positive
saldo hilang jelek saldo,1,0.0,0.0,Negative
bagus bantu butuh pribadi banget banget,5,0.0,0.0,Positive
nyaman pakai,5,0.0,0.0,Positive
bagus cepat,5,0.0,0.0,Positive
suka uang,5,0.0,0.0,Positive
update koneksi putus update parah nggk koneksi putus hubung transaksi susah putus koneksi pindah uang,1,0.0,0.0,Negative
bagus,5,0.0,0.0,Positive
mantap,3,0.0,0.0,Neutral
ribet bet anjir brp kali daftar gagal,1,0.0,0.0,Negative
bantu prose ajar,5,0.0,0.0,Positive
lot dipakek bayar metode qris lot transfer prose lot,2,0.0,0.0,Negative
gimana ganti hp hilang hp sampai2 topup masuk saldo hangus tau kmna uang,3,0.0,0.0,Neutral
bagus,5,0.0,0.0,Positive
bagus,5,0.0,0.0,Positive
ekosistem buruk login susah daftar password gilir login password salah gimana update sistem,1,0.0,0.0,Negative
puas,5,0.0,0.0,Positive
akun kali kali kunci layan buruk keluh abai respon,1,0.0,0.0,Negative
update beli mata uang bagus saran beli emas biar ekosistem bagus si digital,5,0.0,0.0,Positive
bagus nyaman maju,4,0.0,0.0,Positive
bagus,5,0.0,0.0,Positive
bantu,5,0.0,0.0,Positive
keren lancar berkah,5,0.0,0.0,Positive
keren tau dapet bonus kirim cepat cepat keren abis,5,0.5,0.5,Positive
aman percaya,5,0.0,0.0,Positive
mantap banget digital,5,0.0,0.0,Positive
bagus transaksi mudah paham,5,0.0,0.0,Positive
favorite,5,0.5,1.0,Positive
bangett varifikasi data muter2 mulu banget sumpah,1,0.0,0.0,Negative
mw kirim uang 10ribu bener kantong utama isi 12 400 tulis saldo eror atw ngeselin bet,1,0.0,0.0,Negative
orang langsung full bintang,5,0.35,0.55,Positive
nunggu prose aju 2x24 jam tetep hapus data2 jngan disalahgunakan,1,0.0,0.0,Negative
mantap mudah ribet,5,0.0,0.0,Positive
sukses,5,0.0,0.0,Positive
mantap,5,0.0,0.0,Positive
akun buka lupa katasandi,5,0.0,0.0,Positive
bantu,5,0.0,0.0,Positive
koneksi putus pdhal sinyal normal erorr ganggu gercep,3,0.0,0.0,Neutral
bantu kelola aset investasi,5,0.0,0.0,Positive
mantap,5,0.0,0.0,Positive
beres,5,0.0,0.0,Positive
lumayan bantu transaksi kadang biaya gratis batas suka,5,0.0,0.0,Positive
bagus,5,0.0,0.0,Positive
login akun susah ambil uang sulit kalo bantu ksih bintang nda bantu nda rubah,1,0.0,0.0,Negative
bagus banget minus suka transaksi,5,0.0,0.0,Positive
job,5,0.7,0.6000000000000001,Positive
transaksi kena pending kecewa tolong orang,5,0.0,0.0,Positive
bantu mudah transaksi uang,5,0.0,0.0,Positive
bagus,5,0.0,0.0,Positive
kacau isi pin salah masuk password salah passwordnya rubah kecewa banget,1,0.0,0.0,Negative
apknya gajelas hapus akun sulit data salah susah ganti aman pakai biometrik sulit proses tolong,1,0.0,0.0,Negative
keren,5,0.0,0.0,Positive
worth,5,0.3,0.1,Positive
istimewa,5,0.0,0.0,Positive
buka ganti password tetep ajaa hapus rekomend,1,0.0,0.0,Negative
baguss,5,0.0,0.0,Positive
ganti hp susah pindah hp pdhl sesuai kali kali cek,1,0.0,0.0,Negative
mantap,5,0.0,0.0,Positive
adminnya bener solving samsek hati2 trouble,1,-0.2,0.2,Negative
pliss tolong akun gabisa masuk aman aman lohh banget log out masuk salah masukin password bener mohon bantu,1,0.0,0.0,Negative
bagus,2,0.0,0.0,Negative
please jelek banget responnya belibet transfer uang saldo potong terima masuk kali maklum gabakal,1,0.0,0.0,Negative
gilir pinjam kalo malem malem susah seblah skrg,3,0.0,0.0,Neutral
keren mantap,5,0.0,0.0,Positive
pinjam,5,0.0,0.0,Positive
batu lgi butuh,5,0.0,0.0,Positive
bantu,5,0.0,0.0,Positive
bagusss,5,0.0,0.0,Positive
mantap,5,0.0,0.0,Positive
amanah aman,5,0.0,0.0,Positive
bagus banget,5,0.0,0.0,Positive
transaksi layan,1,0.0,0.0,Negative
akun blokir,1,0.0,0.0,Negative
bagusss,5,0.0,0.0,Positive
tolong buka rek hp hilang ganti hp,3,0.0,0.0,Neutral
bantu layan nasabah,5,0.0,0.0,Positive
puas sayang limit pinjam an sedia transaksi pakai,5,0.0,0.0,Positive
transaksi cepat,5,0.0,0.0,Positive
bagus,5,0.0,0.0,Positive
bagus mudah transaksi,5,0.0,0.0,Positive
pinjam tolak ad limit tgl 17 03 2026 hpus apknya ad gx tnggung,1,0.0,0.0,Negative
bagus,5,0.0,0.0,Positive
simple,5,0.21666666666666667,0.5952380952380952,Positive
barusan download nik pakai pakai nik data sebar,2,0.0,0.0,Negative
suka mudah terpecaya,5,0.0,0.0,Positive
handphone hilang verivikasi masuk payah,1,0.0,0.0,Negative
mantap,5,0.0,0.0,Positive
mantap,5,0.0,0.0,Positive
nyaa baguss bgtt ngebantu atur uang,5,0.0,0.0,Positive
rekomendasi teman2,5,0.0,0.0,Positive
bantu negri daftar langsung langsung transfer modal ktp cepat,5,0.0,0.0,Positive
bagus mantap,5,0.0,0.0,Positive
mantab,5,0.0,0.0,Positive
bguss,5,0.0,0.0,Positive
salah mantap nama simpel transaksi bonus pokok mantap,5,0.0,0.0,Positive
senang,5,0.0,0.0,Positive
parah parah parah transaksi susah ampun ngeleg parah koneksi internet internet full wifi kocak,1,0.35,0.55,Negative
bagus,5,0.0,0.0,Positive
mantap,5,0.0,0.0,Positive
bagus aman,5,0.0,0.0,Positive
promo cash back tarik suka,5,0.0,0.0,Positive
login sulit,1,0.0,0.0,Negative
bagus kali,5,0.0,0.0,Positive
bagus,5,0.0,0.0,Positive
andal percaya bantu,5,0.0,0.0,Positive
joss,5,0.0,0.0,Positive
bantu cair jt,5,0.0,0.0,Positive
mantap,5,0.0,0.0,Positive
cepat aman,5,0.0,0.0,Positive
bagus,5,0.0,0.0,Positive
coba coba fitur fiturnya,5,0.0,0.0,Positive
mantap,5,0.0,0.0,Positive
bagus mbanking atur uang kena biaya admin kali kali bagus recomend,5,0.0,0.0,Positive
bagus persen cocok krim,5,0.0,0.0,Positive
update ubah tawar pinjam,4,0.0,0.0,Positive
bagus tabung,5,0.0,0.0,Positive
mantap mudah transaksi,5,0.0,0.0,Positive
13 03 26 14 51 ovo status tunggu sebentar uang potong ter langsung telpon 1500746 tunggu 24 jam 24 jam telpon email 24 jam 23 59 esok 14 03 26 23 59 15 03 2026 10 via email info prose kece kerja senin 16 03 2026 11 kirim email 16 03 2026 15 15 uang direfund,1,0.5,0.5,Negative
ram pkoknya,5,0.0,0.0,Positive
sayang hp daftar hilang aktif,4,0.0,0.0,Positive
log out kecewa,1,0.0,0.0,Negative
an whatsaap gabisa login syarat banget tanda tangan matra hapus,1,0.0,0.0,Negative
mantap,5,0.0,0.0,Positive
mantap sekian paylater limit gede bayar cepat kena fitur keren belanja online,5,0.0,0.0,Positive
bagus qr proses cepat,5,0.0,0.0,Positive
transaksi koneksi putus koneksi internet on,5,0.0,0.0,Positive
use,5,0.43333333333333335,0.8333333333333334,Positive
ganti hp susah verifikasi hp tetep untung hp bom mati gimana solusi saldo,1,0.0,0.0,Negative
uang hilang,1,0.0,0.0,Negative
login pdhl kait akun gopay,3,0.0,0.0,Neutral
mantap fitur pinjam segara aktip terimaksih fitur pinjam dana cepat,5,0.0,0.0,Positive
mudah hari2 bisnis urus,5,0.0,0.0,Positive
mantap poll,5,0.0,0.0,Positive
maaf rating kirim uang tahan saldo alias pending ngurusnya banget data ampun nunggu tunggu kirain prose 1x24 jam 1x24 jam sisa saldo besok langsung kirim norek takut ambil tahan kecewa proses mohon tingkat kerja,3,0.0,0.0,Neutral
transfer uang seabank status sukses seabank masuk saldo solusi hati hati isi saldo hilang uang,1,0.0,0.0,Negative
super duper lot buka loading muncul notif periksa koneksi internet wafi paket data lancar2 bikin kecewa mudah2an,1,0.3333333333333333,0.6666666666666666,Negative
akun masuk ribet banget,1,0.0,0.0,Negative
mantap,5,0.0,0.0,Positive
mantap pokoke,5,0.0,0.0,Positive
mantap,5,0.0,0.0,Positive
bagus,5,0.0,0.0,Positive
puas,5,0.0,0.0,Positive
bikin yaman transaksi aman poko,5,0.0,0.0,Positive
bintang download daftar nik baca alhasil,1,0.0,0.0,Negative
bantu transaksi mudah mantap,5,0.0,0.0,Positive
bagus percaya,5,0.0,0.0,Positive
jos thr 10rb,5,0.0,0.0,Positive
vc admin login nomor hp ganti alhasil login saran mending pakai sulit,1,0.0,0.0,Negative
mantab tingkat kualitas layan pokoke,5,1.0,0.3,Positive
kasih limit pinjam,5,0.0,0.0,Positive
adminnya lumayan transaksi 100 kali,1,0.0,0.0,Negative
bantu atur uang,5,0.0,0.0,Positive
puas bantu,5,0.0,0.0,Positive
bagys,5,0.0,0.0,Positive
daftar masuk notif ganggu,1,0.0,0.0,Negative
kirim cepat mudah kendala,5,0.0,0.0,Positive
mantap,5,0.0,0.0,Positive
mantap,5,0.0,0.0,Positive
bagus,5,0.0,0.0,Positive
akun teransfer,3,0.0,0.0,Neutral
fleksibel transaksi simpel ribet,5,0.0,0.0,Positive
kli masuk ganguan ken coba nabung,1,0.0,0.0,Negative
ganti password masuk gagal tolong bantu gin ganti investasi blu valas bca,1,0.0,0.0,Negative
layan muas uang transfer tunda solusi,1,0.0,0.0,Negative
customer service php omong kerja,1,0.0,0.0,Negative
mantap mudah kelola finansial keluarga mudah simple praktis,5,0.0,0.35714285714285715,Positive
keren bonus duit,5,0.0,0.0,Positive
amanah tabung,5,0.0,0.0,Positive
keep dana 100 masuk 300 masuk gimana solusi,3,0.0,0.0,Neutral
matang keburu rilis nyata minggu download daftar masuk gilir login koneksi putus diam koneksi sambung hilang sabar tunggu minggu harap kasih paham koneksi internet stabil koneksi internet stabil butuh main game online,1,-0.4,0.4,Negative
puas banget layan butuh urgent,5,0.5,0.5,Positive
sukses,4,0.0,0.0,Positive
bagus,5,0.0,0.0,Positive
percaya transfer dn nyimpan uang aman amanah,5,0.0,0.0,Positive
rekomen,5,0.0,0.0,Positive
daftar nik daftar aneh banget,2,0.0,0.0,Negative
bagus transaksi walet bantu,5,0.0,0.0,Positive
kesel banget gagal beli data kali heran kesel,1,0.0,0.0,Negative
mantap akurat,5,0.0,0.0,Positive
mantapp,5,0.0,0.0,Positive
dana masuk gopay masuk chat malas pakai,1,0.5,0.5,Negative
terima kasih,5,0.0,0.0,Positive
mantap ribet,5,0.0,0.0,Positive
bantu,5,0.0,0.0,Positive
puas layan,5,0.0,0.0,Positive
bagus,5,0.0,0.0,Positive
mantap keren,5,0.0,0.0,Positive
bagus,5,0.0,0.0,Positive
digital,5,0.0,0.0,Positive
siip,5,0.0,0.0,Positive
manta,5,0.0,0.0,Positive
puas transaksi,5,0.0,0.0,Positive
mudah suka pergi bangett bonus lumayan beli depa promo hehehe,5,0.0,0.0,Positive
gajelas,1,0.0,0.0,Negative
enak bayar cepat ngelag buka bonus,5,0.0,0.0,Positive
mantapp,5,0.0,0.0,Positive
bintang dana superbank juara 2026 banding brimo raya gopay shopee sistem canggih otomatis deteksi hp root anti rendah login ribet biar akun nyangkut saldo bobol instal ulang wajib verifikasi ketat nol bikin dana superbank bangga aman mesin banding juara,1,0.0,0.0,Negative
mudah pakai thanks,5,0.2,0.2,Positive
simpel mudah,5,0.0,0.0,Positive
bagus,5,0.0,0.0,Positive
bagus,5,0.0,0.0,Positive
senang banget pakai rek bikin kantong uang pisah sesuai manfaat khawatir uang butuh pakai kirim kartu atm mudah benar2 beda status kirim endingnya urus kartu hilang surprise 25k terima,5,0.0,0.0,Positive
mantap transaksi pakai lancar kaya kilat mantap,5,0.0,0.0,Positive
mantab,5,0.0,0.0,Positive
tranfer wallet kirim status proses jelek 50k,1,0.0,0.0,Negative
male kerja bilang jam kerja 24 customer bot mulu transfer pending suruh tunggu bot,1,0.0,0.0,Negative
nyala bos mantap,5,0.0,0.0,Positive
job,5,0.7,0.6000000000000001,Positive
atur uang kantong bebas atur kartu fisik kartu digital,5,0.0,0.0,Positive
recommended transfer gratissss,5,0.0,0.0,Positive
aman bonus 30 rb apknya lancar jaya kendala,5,0.0,0.0,Positive
mantull,5,0.0,0.0,Positive
10 bintang,5,0.0,0.0,Positive
bagus,5,0.0,0.0,Positive
bagus transaksi,5,0.0,0.0,Positive
bagusss bangett,5,0.0,0.0,Positive
mantap,5,0.0,0.0,Positive
muas,5,0.0,0.0,Positive
solusi nyata isap jempol terima kasih,5,0.0,0.0,Positive
pokok bagus transaksi,5,0.0,0.0,Positive
mantap,5,0.0,0.0,Positive
fitur pindah jenis syariah konvensional biar ngerasain fitur sampek akun pakek pindah versi akun,1,0.0,0.0,Negative
mantap,5,0.0,0.0,Positive
appk bantu,5,0.0,0.0,Positive
bagus,5,0.0,0.0,Positive
kereeeeeen,5,0.0,0.0,Positive
mantap,5,0.0,0.0,Positive
