userName,score,at,content
Pengguna Google,1,2026-03-29 12:07:30,"parah bgt akun tiba tiba log out sendiri, masukin password masa salah? coba ganti password juga stuck di kode verifikasi doang. halo ini udah 16 jam saya ga bisa pakai, uang di bank jago semua. parah bgt sih 😩"
Pengguna Google,5,2026-03-29 11:59:23,menarik
Pengguna Google,1,2026-03-29 11:10:59,"SDH donlot, tp pas liat review nya jd takut"
Pengguna Google,5,2026-03-29 11:01:27,Mantap
Pengguna Google,1,2026-03-29 10:58:19,"saya tidak bisa masuk, padahal baru mendaftar. gimana sih"
Pengguna Google,1,2026-03-29 10:50:51,Ini knp sih suka eror suka keluar sendiri akunnya bikin deh degan padahal sebelum nya gak pernah begitu pas di masukin akunnya kena suspend 1 jam
Pengguna Google,5,2026-03-29 10:36:53,👍👍👍👍
Pengguna Google,5,2026-03-29 10:08:27,bagus
Pengguna Google,5,2026-03-29 10:05:12,gimana cara nya mengganti no hp yg sdh tidak aktf
Pengguna Google,3,2026-03-29 08:41:54,"lumayan, tapi tolong itu mata uang asing jangan cuma beli dan jual! tapi transfer juga biar lebih fleksibel kalau jadi freelance"
Pengguna Google,5,2026-03-29 08:39:48,mantap
Pengguna Google,5,2026-03-29 07:12:12,good
Pengguna Google,4,2026-03-29 07:07:09,belum bisa pindah dari jago syariah ke jago biasa smg kedepannya bisa
Pengguna Google,5,2026-03-29 06:22:22,maaf izin bertanya nomor telpon yang saya daftarkan sudah hilang dan lupa bagaimana cara menggantinya
Pengguna Google,5,2026-03-29 04:31:07,semoga Aja Pinjaman Sya di Acc Di Bank Jago...mksh.
Pengguna Google,5,2026-03-29 04:01:16,bagus aplikasi nya mudah dipahami
Pengguna Google,5,2026-03-29 03:34:27,aplikasi yg user friendly dan useful semua fiturnya
Pengguna Google,5,2026-03-29 02:11:41,baik
Pengguna Google,5,2026-03-29 01:58:04,Bagus lancar Okeyyyy
Pengguna Google,5,2026-03-28 21:53:58,sangan baik dan juga membantu
Pengguna Google,5,2026-03-28 21:12:26,Bagus
Pengguna Google,5,2026-03-28 20:23:36,kerennnnnn
Pengguna Google,5,2026-03-28 19:16:36,terbaik
Pengguna Google,5,2026-03-28 18:23:36,cara pinjaman di bank jago
Pengguna Google,1,2026-03-28 17:54:32,scam. cs lambat cuma lempar lempar. di jawab cuma autotext 24/7 katanyaa.
Pengguna Google,5,2026-03-28 16:09:36,bagus
Pengguna Google,5,2026-03-28 14:19:49,sangat inovatif
Pengguna Google,1,2026-03-28 14:04:57,mending seabank sm superbank dapat pinjaman ..walaupun kecil cuma 1 juta...lah nie jago udah pake lama ..sering transaksi blm ada fitur pinjaman nya ..tanya ke cs cuma nasabah terpilih..payah
Pengguna Google,5,2026-03-28 13:53:24,"mantap jago, fiturnya keren banyak kantong dan rekening, tingkatkan lagi bonus gratis kirim nya ya 🥰"
Pengguna Google,5,2026-03-28 13:49:02,aplikasi anti kapitalis tf kemana aja tanpa admin 😍
Pengguna Google,5,2026-03-28 12:05:45,semoga cepat muncul fitur pinjaman
Pengguna Google,1,2026-03-28 11:47:00,mind kalau hp hilang trus akun keblokir gmna prosesnya
Pengguna Google,5,2026-03-28 11:30:05,bermanfaat dan banyak kemudahan bertransaksi
Pengguna Google,3,2026-03-28 10:58:21,"Sebagai saran, sebaiknya sistem menyediakan opsi pengiriman kode verifikasi (OTP) melalui WhatsApp sebagai alternatif selain SMS. Hal ini penting untuk mengantisipasi kendala seperti kehilangan kartu SIM, yang dapat menyebabkan pengguna tidak bisa menerima OTP melalui SMS. Dengan adanya opsi WhatsApp, pengguna tetap dapat menerima kode verifikasi selama nomor tersebut masih terhubung dengan akun WhatsApp mereka. Opsi ini akan meningkatkan keamanan sekaligus memberikan kemudahan akses pengguna"
Pengguna Google,1,2026-03-28 10:05:16,"tidak bagus sama sekali ,sangat merugikan ,mau transaksi tapi akunn eror TDK bisa login padahal pasword Imel sdh bnar,"
Pengguna Google,5,2026-03-28 09:15:00,recomended banget...
Pengguna Google,5,2026-03-28 08:29:57,bagus
Pengguna Google,5,2026-03-28 07:49:00,"berharap ada qris tampil, kalau belanja di Alfa/idm agak repot tanpa ada qris tampil, selebihnya the best"
Pengguna Google,5,2026-03-28 07:42:40,"bagus apk nya, kalo bisa tambahin kuotanya untuk transfer biar gratis kayak e walletnya gopay"
Pengguna Google,5,2026-03-28 07:28:05,mudah dan praktis
Pengguna Google,1,2026-03-28 06:54:32,Saya mau daftar akun baru di jago tapi nik saya sudah pernah terdaftar apakah bisa di hapus nik di akun lama karna aku lama sudah lupa password nomer HP dan emailnya
Pengguna Google,5,2026-03-28 06:00:40,mantap
Pengguna Google,1,2026-03-28 05:03:01,pw udh bener susah bnget ini masuk malah d kunci hadeuh ampun gini2 amat aplikasi
Pengguna Google,2,2026-03-28 03:43:43,bintang 2 dulu aplikasi sangat berat. lodingnya lama sekali. sungguh tidak praktis.
Pengguna Google,5,2026-03-28 03:09:22,memuaskan pelayanannya
Pengguna Google,5,2026-03-28 01:43:40,puas bnget
Pengguna Google,5,2026-03-28 01:30:34,bagus
Pengguna Google,1,2026-03-28 00:30:52,knp ngk bisa transfer uang
Pengguna Google,5,2026-03-28 00:21:51,sangat suka
Pengguna Google,5,2026-03-27 23:53:51,baik
Pengguna Google,5,2026-03-27 23:31:21,kurng pinjaman
Pengguna Google,1,2026-03-27 23:04:10,"nutup akun aja dibikin ribet, label doang syariah !!!"
Pengguna Google,4,2026-03-27 09:25:47,mantap. perbanyak hadianya jago
Pengguna Google,5,2026-03-27 04:08:15,"Di tambah feature (Kantong) Syariah kak, (dengan imbal hasil sesuai prinsip syariah) biar makin cuan..."
Pengguna Google,5,2026-03-27 03:07:21,transaksi cepat
Pengguna Google,1,2026-03-27 01:53:57,"akun saya dikunci secara tiba-tiba, tidak ada penjelasan sama sekali, uang hasil jualanku nyangkut"
Pengguna Google,5,2026-03-27 01:49:45,"aplikasi sangat bijak,,bagus,,"
Pengguna Google,5,2026-03-27 01:46:29,terima kasih Bank Jago
Pengguna Google,5,2026-03-27 01:28:07,bagus dapet bonus nya
Pengguna Google,5,2026-03-27 01:11:42,Bank Jago memang manteepp.. Bebas biaya admin.. Gampang cara registrasinya dan tidak ribeett..
Pengguna Google,5,2026-03-27 01:08:11,bagus
Pengguna Google,5,2026-03-26 23:39:08,excellent
Pengguna Google,5,2026-03-26 22:51:42,mudah dan gampang 👍
Pengguna Google,5,2026-03-26 20:49:37,Sangat Bagusss pelayanannya🙏🏼
Pengguna Google,5,2026-03-26 04:20:46,mantab mantab joss
Pengguna Google,1,2026-03-26 03:55:40,gagal terus.. buat hubungkan saldo dollar ke kantong utama(rupiah)
Pengguna Google,5,2026-03-26 01:40:46,bagus dan mudah
Pengguna Google,1,2026-03-26 00:48:27,"lemot, gk niat bikin aplikasi"
Pengguna Google,5,2026-03-26 00:32:42,mantap aplikasinya
Pengguna Google,1,2026-03-25 23:46:26,"Kenapa susah buat log in? selalu terjadi kesalahan dan perangkat ini tidak bisa dihubungkan. padahal udah masukin data yg bener ttep gabisa. udah telpon call centre, udh kirim email dan wa juga masih gaada perubahan. gila ya ada duit gue 1,5 jt disitu! benerin kagak?"
Pengguna Google,5,2026-03-25 22:41:52,i like
Pengguna Google,5,2026-03-25 21:59:11,bagus dan membantu
Pengguna Google,5,2026-03-25 21:07:38,"Aplikasinya ringan, simpel dan mudah dipakai, kelebihan utama yang saya suka karena bisa bikin banyak kantong, jadi praktis bisa punya banyak norek dalam 1 bank, bisa pisah-pisah dana sesuai kebutuhan dan tentunya bisa dipakai untuk tampung dana dari yang punya beberapa sumber penghasilan."
Pengguna Google,5,2026-03-25 20:30:07,Jago Terbaik
Pengguna Google,5,2026-03-25 19:24:09,mantap
Pengguna Google,4,2026-03-25 18:11:59,update 26.03.26 sering banget disconnect. padahal sinyal wifi bagus. gmn sih? bisa bikin apk ga sih?
Pengguna Google,1,2026-03-25 16:56:05,"kenapa sekarang harus vcall ya? lama tidak dibuka malah diminta seperti itu. kayak penjahat aja kita. tahun² lalu tidak begitu, padahal data lengkap & benar. aplikasi Gopay pun masih terinstall dan digunakan sampai sekarang. malah dibikin Ribet."
Pengguna Google,1,2026-03-25 16:51:19,uang saya hilang gatau tiba tiba berkurang yg aslinya 550.000 jadi 500.000 KECEWAAA!!!JANGAN NYIMPEN DI JAGO SYARIAHHH!!!
Pengguna Google,5,2026-03-25 15:58:00,kerenn
Pengguna Google,5,2026-03-25 15:32:44,mantap
Pengguna Google,5,2026-03-25 15:23:27,ok banget
Pengguna Google,5,2026-03-25 15:11:09,"fleksibel, awalnya buat RDN saham tapi dapat layanan yang lengkap juga"
Pengguna Google,5,2026-03-25 13:09:38,terimakasih bang jago selalu banyak hal menarik
Pengguna Google,5,2026-03-25 12:50:10,top bgt lah
Pengguna Google,5,2026-03-25 11:48:43,GOOD APPS
Pengguna Google,3,2026-03-25 11:32:38,"sayang sekali, mendaftar dan aktifasi sulit, selalu di tolak padahal di bank lain gada masalah, mau masuk aplikasi pasword pin dan sidik jari biasa bisa masuk 2 hari kemudian mau masuk di tolak ga bisa sandi tidak valid ampun dah"
Pengguna Google,5,2026-03-25 11:09:10,jossSHT.........
Pengguna Google,5,2026-03-25 10:37:13,simple
Pengguna Google,5,2026-03-25 10:22:46,"baik, amanah tapi kadang sedikit lag saat di aplikasinya"
Pengguna Google,1,2026-03-25 10:04:19,"nmr hp hilang dan lupa email ,gimana solusi nya ??"
Pengguna Google,5,2026-03-25 09:42:39,cocok untuk bisa membagi uang ke beberapa lantong sehingga lebih rapi dan tertata
Pengguna Google,5,2026-03-25 07:36:49,mantap dan sangat mudah bertransaksi dengan bang jago syariah..
Pengguna Google,5,2026-03-25 07:15:31,"Enak banget coy pake ini, harusnya dari dulu gue pake wkkw"
Pengguna Google,5,2026-03-25 07:03:35,"aplikasi bagus dan cepat, semoga bisa konsisten agar lebih baik lagi, dan semoga dijamin keamanannya"
Pengguna Google,5,2026-03-25 06:50:20,bagaimana jika no hp kita sudah hilang gimna cara mengembalikan akun bank jago
Pengguna Google,5,2026-03-25 06:13:46,bagus
Pengguna Google,5,2026-03-25 04:38:04,nicee
Pengguna Google,5,2026-03-25 04:35:00,fitur nya lengkap mudah di operasikan ..
Pengguna Google,5,2026-03-25 04:24:39,seneng pake apk bang jago GK ribet daftarnya
Pengguna Google,1,2026-03-25 03:40:52,"hallo admin, kenapa lama sekali proses aktivasi akun padahal persyaratan sudah dipenuhi semua. di informasi katanya gak sampk 1 bulan, faktanya melebihi gak ada kejelasan 😭"
Pengguna Google,5,2026-03-25 03:32:03,mudah digunakan😍
Pengguna Google,5,2026-03-25 03:26:15,mudah banget buat kartu visa elektronik tinggal sat set
Pengguna Google,5,2026-03-25 03:10:56,bagus good mantap
Pengguna Google,4,2026-03-25 02:57:39,"Pakai jago tu enak yo, ada fitur kantong Jadi bisa Ngelompokin jabg sesuai dengan yg di inginkan tapi Yok bisa yok pas pindah dana dari Kantong 1 ke yg lain di tambahkan fitur catatan, biar lebih enak"
Pengguna Google,5,2026-03-25 01:42:31,sangat membantu
Pengguna Google,5,2026-03-25 00:52:56,simpel enak gak ribet
Pengguna Google,5,2026-03-25 00:43:28,"Aplikasi sering mengalami error dan gangguan. Saya beberapa kali mencoba login dan membuka rekening tetapi selalu gagal atau muncul masalah pada sistem. Hal ini sangat mengganggu karena aplikasi perbankan seharusnya bisa diakses kapan saja oleh nasabah. Mohon pihak Bank Jago memperbaiki stabilitas server dan meningkatkan kualitas aplikasi agar tidak sering mengalami gangguan. Selain itu, jika memang sedang ada maintenance atau perbaikan sistem, sebaiknya ada pemberitahuan yang jelas di aplikasi"
Pengguna Google,1,2026-03-25 00:42:45,aplikasi susah di download. sudah berkali-kali di download masih juga nggak bisa.
Pengguna Google,1,2026-03-24 23:56:50,"Saya sudah memiliki akun akan tetapi nomor saya mati sehingga saya tidak bisa login ke akun karena tidak bisa menerima kode OTP, saya ganti nomor dan mengurus proses ganti nomor agar bisa login dan ngurus ganti nomor akun akan tetapi prosedur nya SANGAT SULIT DAN RIBET. gak seperti bank lain yang cukup pake foto selfie megang KTP selesai. tolong dievaluasi, kalo ingin berhati2 kan skrg ada fitur videocall, ada juga fitur rekam videocall jg, jadi gk perlu pke surat pernyataan bermeterai"
Pengguna Google,5,2026-03-24 20:12:47,bagus
Pengguna Google,5,2026-03-24 17:50:04,semoga Jago kerjasama dengan platform lain atau ada menu jualan online shop dengan biaya administrasi murah untuk UMKM dan mikro kelas orang tidak mampu. tidak perlu bikin aplikasi tapi ada menu jualan (daftar jualan nya harus mudah)
Pengguna Google,3,2026-03-24 16:31:45,kata ny bisa meminjam kan uang .. ! sekali di ajukan . blg ny blom tersedia 😅😅 aneh jga
Pengguna Google,5,2026-03-24 15:34:32,ok amann
Pengguna Google,3,2026-03-24 14:40:16,mengapa aplikasi bank jago menu saya tidak ada dana instan atau pinjaman dll
Pengguna Google,5,2026-03-24 12:36:50,the best
Pengguna Google,5,2026-03-24 12:04:05,"kerenn, makasii bonusnya minn"
Pengguna Google,1,2026-03-24 11:56:16,proses yang ribet untuk login.
Pengguna Google,5,2026-03-24 11:34:51,apk bang yng sangat bagus
Pengguna Google,5,2026-03-24 11:30:44,simple mudah digunakan...
Pengguna Google,1,2026-03-24 10:20:12,"sudah masukin password yang benar masih saja salah , disuruh nunggu satu jam lagi hadeh, bikin ribet"
Pengguna Google,1,2026-03-24 10:14:53,aplikasinya GK jelas main blokir aja untung GK sempat deposit atwa nyimpen uang d aplikasi ini
Pengguna Google,5,2026-03-24 08:54:25,bagus ya
Pengguna Google,1,2026-03-24 08:25:52,Buka Tabungan Ribet Banget...Video Call Koq Ngomong Data Gak Ditemukan...BRI Aja Bisa Koq...Uninstall Aja...👎🏾👎🏾👎🏾
Pengguna Google,5,2026-03-24 08:13:13,good
Pengguna Google,5,2026-03-24 08:08:54,memang benar gratis biaya transfer mantabbbb
Pengguna Google,5,2026-03-24 07:49:14,Saya masih pemula tapi menyenangkan pakai aplikasi ini
Pengguna Google,5,2026-03-24 07:41:14,ok
Pengguna Google,5,2026-03-24 06:16:45,aplikasi nyeni
Pengguna Google,2,2026-03-24 05:35:28,"Tolong lah fitur pinjaman nya di buka, jgn pilah pilih."
Pengguna Google,5,2026-03-24 05:28:09,"praktis, banyak fiturnya"
Pengguna Google,2,2026-03-24 05:03:00,"kok aneh kali bank ini, ketika buat akun/dattar gak bisa keterang sudah terdaftar. giliran masuk, nik salah, email salah, nomor telpon salah, terus di coba berkali² tetap gak bisa, daftar gak bisa, masuk gak bisa"
Pengguna Google,5,2026-03-24 04:33:18,aplikasi ini sangat bagus dan baik. mudah di gunakan juga 😁😁😁
Pengguna Google,5,2026-03-24 03:43:46,makasih aplikasi sangat baik
Pengguna Google,1,2026-03-24 03:04:05,saya sangat tidak puas dengan pelayana karywan dari aplikasi ini
Pengguna Google,5,2026-03-24 02:30:37,efisien baguss
Pengguna Google,5,2026-03-24 02:19:41,saya ubah penilaian saya semoga limit nya segera bisa dibuka blokirnya
Pengguna Google,5,2026-03-23 21:16:13,baik
Pengguna Google,4,2026-03-23 20:14:10,mantap🤌
Pengguna Google,5,2026-03-23 19:27:15,sangatt mengerti
Pengguna Google,5,2026-03-23 18:11:49,bagus
Pengguna Google,1,2026-03-23 17:28:04,"aplikasi nya sering sekali error atau terkena gangguan. sangat sulit untuk aku loginkan kembali karna sering eror dan akun aku ke blokir (kena limit 1jam) karna gagal mencoba login sebanyak 3x, padahal aku uda masukin semua data dengan benar loh 😪"
Pengguna Google,1,2026-03-23 16:20:55,"ribet bgt anj, mau login di hp satunya ,karena hp yg satu rusak mlh verifikasi ini itu udh gitu susah jg"
Pengguna Google,1,2026-03-23 16:01:12,"login susah banget, lupa password ga bisa bisa, scan wajah berkali kali, input data berkali kali tetep gabisa, foto ktp berkali kali juga... scan wajah dari sistem gagal terus, suruh video call... gua gamau video call, ga bisa di ulang scan 3dnya... jelek banget sebel parah, butuh cepet padahal"
Pengguna Google,5,2026-03-23 15:41:30,mantap
Pengguna Google,5,2026-03-23 14:54:54,ok
Pengguna Google,5,2026-03-23 13:54:25,keren
Pengguna Google,5,2026-03-23 13:33:39,so far so good
Pengguna Google,5,2026-03-23 13:32:12,terbaik
Pengguna Google,5,2026-03-23 13:30:54,aman terpercaya
Pengguna Google,1,2026-03-23 13:13:09,"kendala kode otp Mulu adminnya mabok,udah dijelasin detail kendala saya masih aja ini itu"
Pengguna Google,3,2026-03-23 12:18:38,"bintng 3 aja dlu soalnya tiba"" akun saya di blokir uang saldo sy baru isi mohon bantuannya trimakasih"
Pengguna Google,5,2026-03-23 11:17:52,sangat membantu
Pengguna Google,5,2026-03-23 11:09:37,bagus
Pengguna Google,5,2026-03-23 10:35:28,"mohon maaf, barangkali ada bug yang saya temukan. untuk transaksi qris kadangkala ada yang lancar dan ada yang tidak.. yang pernah saya catat adalah di merchant DIY. terimakasih."
Pengguna Google,5,2026-03-23 10:24:33,sangat bermanfaat
Pengguna Google,1,2026-03-23 09:16:46,kartu SIM ilang mau masukin akun malah di suruh minta cek SMS ga jelas lo seharus ya ada pilihan masuk lewat email
Pengguna Google,5,2026-03-23 07:02:33,satu jagoan untuk smua kebutuhan.... mantap 👍👍😮
Pengguna Google,5,2026-03-23 04:54:16,Sangat Bagus
Pengguna Google,5,2026-03-23 04:28:02,sangat nembantu
Pengguna Google,1,2026-03-23 04:11:45,ini bank atau pinjol sih??mau buka rekening harus menunggu persetujuan and ujung ujungnya gagal!!!!auto uninstal!!masih banyak bank lain yg tidak ribet masalh registrasi!!cust servisnya juga sok banget!!
Pengguna Google,5,2026-03-23 02:35:42,jago sangat membantu dalam bertransaksi kemanapun dan dimanapun dengan nyaman dan aman
Pengguna Google,5,2026-03-23 02:28:20,"Terimakasih bank jago,saya sangat senang menggunakannya.selama ini saya menggunakannya tidak ada kendala dan lancar semua sesuai kebutuhanku."
Pengguna Google,3,2026-03-23 01:52:29,gmna ini akun saya gk bisa kebuka setiap masukin no HP sm email gk bisa login pake kk jg gk bisa login tolong bantu soalnya masih ada saldo nya
Pengguna Google,5,2026-03-23 01:42:54,lebih mudah cepat gampang utk transaksi
Pengguna Google,1,2026-03-23 01:27:14,eror banget apk nyaaa
Pengguna Google,5,2026-03-23 01:08:07,lebih mudah untuk transaksi
Pengguna Google,1,2026-03-23 00:11:45,baru mau daftar aja di sesi foto nya gak bisa padahal sinyal lancar2 aja
Pengguna Google,5,2026-03-23 00:05:34,Alhamdulillah selama pakai jago enggak pernah ada masalah saat bertransaksi apalagi visa nya yang saat saya gunakan untuk transaksi mingguan. bisnis saya lancar
Pengguna Google,4,2026-03-22 23:58:53,membantu
Pengguna Google,1,2026-03-22 23:45:47,"apalah mau transaksi malah kesalahan jaringan terus, makin ke sini bukanya makin bagus malah makin bapuk si jago. Ui ringan tapi berat di jaringan."
Pengguna Google,5,2026-03-22 23:28:05,ok banget
Pengguna Google,5,2026-03-22 21:27:28,Bagaimana saya login karna nomor telfon saya sudah tidak aktif/hilang tolong gmna buat mengatasinya saya mau ganti nomor untuk login
Pengguna Google,5,2026-03-22 19:35:29,mantap
Pengguna Google,5,2026-03-22 17:17:41,"sumpah aplikasinya bagus banget, admin nya juga ramah dan fast respon, aku kemarin mengubah nama resmi satset dikerjain, mana adminnya ramah lagi, sip deh gacorr"
Pengguna Google,5,2026-03-22 16:59:12,oke sekali😁😁😁
Pengguna Google,5,2026-03-22 16:02:33,bank jago tidak konsisten masa saya lupa password tidak lupa pin dan email saya bingung kartu nomor saya hilang tidak bisa login lagi harus pakai otp padahal verifikasi wajah bisa ujungnya minta otp sedangkan saya kartu nomor nya sudah hilang
Pengguna Google,1,2026-03-22 15:09:02,APLIKASI BANK DIGITAL PALING SUSAH LOGIN PADAHAL SUDAH MASUKKAN KODE OTP TAPI GAGAL TERUS. DAN SUDAH MENCOBA HUBUNGI CALL CENTER EMAIL WHATSAPP TAPI TIDAK ADA SOLUSI. MENDING PAKAI BANK DIGITAL LAIN LEBIH STABIL.
Pengguna Google,5,2026-03-22 14:47:27,baik
Pengguna Google,1,2026-03-22 14:34:37,"bank JAGO Pelit , tidak seperti bang NEOBANK YANG BISA KASIH PINJAMAN. Padahal Saya Dapat Dipercaya. Saya Hutang dimanapun pasti di bayar, TPI mengajukan dsni gagal."
Pengguna Google,1,2026-03-22 13:48:34,masa pas tf saldo tidak mencukupi mulu padahal ada saldo nya
Pengguna Google,4,2026-03-22 11:15:00,untuk bantuan akun terblokir bsa hubunngi no mana min? mhon bntuannya
Pengguna Google,5,2026-03-22 10:30:23,Semoga fitur pinjaman aktif&bisa digunakan.
Pengguna Google,1,2026-03-22 10:26:53,jangan mau ada yg dwnld dan maks ni aplikasi bodoh rusak
Pengguna Google,5,2026-03-22 05:21:13,jago keren
Pengguna Google,4,2026-03-22 05:12:40,"bagus cuma kalo transaksi pake kartu saldo tidak cukup, cuma selisih dikit aja potong 5rb"
Pengguna Google,5,2026-03-22 04:31:16,"Langsung Di perbaiki, sekarang tidak oerku ribet setiap mau pake app jago tidak harus selalu login baru, Terimakasih Jago"
Pengguna Google,5,2026-03-22 03:40:31,ok
Pengguna Google,5,2026-03-22 02:29:32,"akun nya GK bisa di buka kenapa bisa sperti itu trus bagai mana dengan data2 saya tolong jaga dengan baik semoga makin sukses dan selalu sejahtera bang jago sukses selalu knp selalu ada kesalahan , tolong di perbaiki kak trimah kasih , login knp bisa salah trus padahal sudah benar."
Pengguna Google,1,2026-03-22 01:45:39,apk sampah verifikasi data lama ujung ujungnya di tolak👎👎
Pengguna Google,5,2026-03-22 00:23:12,semua transaksi mudah dan cepat
Pengguna Google,5,2026-03-21 23:35:38,aman seperti bank pada umumnya
Pengguna Google,5,2026-03-21 22:01:58,istimewa
Pengguna Google,1,2026-03-21 19:25:35,"ubahlah monyet otp nya jangan dikirim ke wa atau nomor telepon tambahin juga yang dikirim ke Gmail, banyak kasus yang nomor nya ga di daftarin ke wa atau banyak nomor yang massa tenggang"
Pengguna Google,1,2026-03-21 18:13:08,"buruk, transfer e wallet gak masuk saldo ga kembali"
Pengguna Google,5,2026-03-21 16:05:54,baguss
Pengguna Google,1,2026-03-21 15:28:15,kirim uang status pending selama 24jam.uang terpotong dari saldo . bank digital parah
Pengguna Google,5,2026-03-21 14:22:48,"baru kali ini download aplikasi bank bisa dapet saldo, keren keren"
Pengguna Google,5,2026-03-21 12:47:18,Transaksi hari ini terjebak macet transfer ke Bank lain dana nya tdk terima sedangkan Saldo sdh terpotong..!!? 😂😂😂
Pengguna Google,5,2026-03-21 11:54:02,sangat baik
Pengguna Google,5,2026-03-21 11:24:05,bagus membantu dan simpel
Pengguna Google,1,2026-03-21 11:09:52,sumpah verifikasi loginnya lama banget bikin kesel padahal jaringan bagus
Pengguna Google,5,2026-03-21 10:31:30,kenapa mau login gangguan terus padahal baru pertama daftar tolong perbaiki karena saya sedang membutuhkan dana
Pengguna Google,5,2026-03-21 06:37:55,Bagus
Pengguna Google,1,2026-03-21 04:05:10,biasa aja
Pengguna Google,5,2026-03-21 02:41:00,"baguss,,,"
Pengguna Google,5,2026-03-21 01:05:57,saya nak update versi terbaru tolong perbarui
Pengguna Google,5,2026-03-20 21:08:10,Mantap👍 100% dapat dipercaya
Pengguna Google,5,2026-03-20 19:40:37,transaksi lebih membantu
Pengguna Google,5,2026-03-20 19:23:29,aku gak dapat dapat pinjaman lah udaj 2 tahun pake
Pengguna Google,5,2026-03-20 18:05:38,wahhh bagus sekali
Pengguna Google,5,2026-03-20 17:56:27,sangat bagus aplikasi nya dan sangat membantu
Pengguna Google,5,2026-03-20 17:12:44,pendaftaran mudah simple dan cepat
Pengguna Google,3,2026-03-20 16:36:07,Sempet trouble lama
Pengguna Google,1,2026-03-20 16:31:19,aplikasi terburuk yang pernah ada
Pengguna Google,5,2026-03-20 16:28:11,ok
Pengguna Google,5,2026-03-20 15:38:59,nice
Pengguna Google,1,2026-03-20 15:20:33,"top up gopay pending terus lemot banget sistem nya bikin semua aktifitas transfer jadi lambat .. tolong dong di benerin sistem nya,sangat tidak recomended"
